ID,Latitude,Longitude,Genus,Species,Family,Class,Infra-Class,Order,Status,Megafauna,AgeID,DatedRemain,DatedMaterial,Age,AgeType,DatingTechnique,OverallRegion,AdministrativeDivision,SpecificRegion,Cave/Site/Deposit,Chamber/Provenance,Stratigraphy/Taphonomy,Species abundances
1,-5.9372,145.1786,Abeomelomys,sevia,Muridae,Mammalia,Eutheria,Rodentia,Extant,No,ANU-3681,Sediment,Snail shell,11.65,=,Radiocarbon  ,New Guinea,Simbu,Mt Elimbari Ridge,Nombe Rockshelter,"Stratum B8 - square C3 (spit 4, catalogue number 40/46)",Yes,Yes
2,-5.8292,144.0411,Abeomelomys,sevia,Muridae,Mammalia,Eutheria,Rodentia,Extant,No,ANU-1325,Sediment,Wood charcoal,2.54,=,Radiocarbon  ,New Guinea,Western Highlands,Wurup Valley - Between Kamapuk and Kanauri creeks,Kamapuk Rockshelter,Level 7,Yes,Yes
3,-5.8292,144.0411,Abeomelomys,sevia,Muridae,Mammalia,Eutheria,Rodentia,Extant,No,ANU-1325,Sediment,Wood charcoal,2.54,<,Radiocarbon  ,New Guinea,Western Highlands,Wurup Valley - Between Kamapuk and Kanauri creeks,Kamapuk Rockshelter,Level 7,Yes,Yes
4,-5.8292,144.0411,Abeomelomys,sevia,Muridae,Mammalia,Eutheria,Rodentia,Extant,No,ANU-1326,Sediment,Wood charcoal,4.34,<,Radiocarbon  ,New Guinea,Western Highlands,Wurup Valley - Between Kamapuk and Kanauri creeks,Kamapuk Rockshelter,Level 15,Yes,Yes
5,-5.9372,145.1786,Abeomelomys,sevia,Muridae,Mammalia,Eutheria,Rodentia,Extant,No,ANU-3687,Bone,Charred/burned bone,8.07,=,Radiocarbon  ,New Guinea,Simbu,Mt Elimbari Ridge,Nombe Rockshelter,"Stratum B8 - square C3 (spit 4, catalogue number 40/46)",Yes,Yes
6,-5.9372,145.1786,Abeomelomys,sevia,Muridae,Mammalia,Eutheria,Rodentia,Extant,No,ANU-2578,Calcite capping,Calcite,27.0,=,Radiocarbon  ,New Guinea,Simbu,Mt Elimbari Ridge,Nombe Rockshelter,stratum D1/5,Yes,Yes
7,-37.0333,140.8,Acrobates,pygmaeus,Acrobatidae,Mammalia,Marsupialia,Diprotodontia,Extant,No,NC3,Sediment,Quartz,257.0,=,OSL  ,Main Australia,SA,Naracoorte,Cathedral Cave,Unit 2b - 134 cm below datum,Stratigraphy in Brown and Wells 2000,Yes
8,-37.0333,140.8,Acrobates,pygmaeus,Acrobatidae,Mammalia,Marsupialia,Diprotodontia,Extant,No,NCF1-2 top,Flowstone,Calcite,289.0,=,U-series Th/U   ,Main Australia,SA,Naracoorte,Cathedral Cave,Unit 3 - 165 cm below datum,Stratigraphy in Brown and Wells 2000,Yes
9,-37.0333,140.8,Acrobates,pygmaeus,Acrobatidae,Mammalia,Marsupialia,Diprotodontia,Extant,No,NC4,Sediment,Quartz,292.0,=,OSL  ,Main Australia,SA,Naracoorte,Cathedral Cave,Unit 3 - 165 cm below datum,Stratigraphy in Brown and Wells 2000,Yes
10,-37.0333,140.8,Acrobates,pygmaeus,Acrobatidae,Mammalia,Marsupialia,Diprotodontia,Extant,No,NCF1-3 mid,Flowstone,Calcite,297.0,=,U-series Th/U   ,Main Australia,SA,Naracoorte,Cathedral Cave,Unit 3 - 165 cm below datum,Stratigraphy in Brown and Wells 2000,Yes
11,-37.0333,140.8,Acrobates,pygmaeus,Acrobatidae,Mammalia,Marsupialia,Diprotodontia,Extant,No,NCF1-1 base,Flowstone,Calcite,396.0,=,U-series Th/U   ,Main Australia,SA,Naracoorte,Cathedral Cave,Unit 3 - 165 cm below datum,Stratigraphy in Brown and Wells 2000,Yes
12,-32.6232,148.932,Acrobates,pygmaeus,Acrobatidae,Mammalia,Marsupialia,Diprotodontia,Extant,No,ANU-5323,Sediment,Charcoal,21.35,=,Radiocarbon  ,Main Australia,NSW,Great Diving Range - Wellington Caves,Cathedral Cave/Wellington Caves,spit 46 (6.1 m) - Phase 1: spit 46 (6.1 m) to spit 50 (6.5 m),Yes - see also Osborne 1984,Yes
13,-32.6232,148.932,Acrobates,pygmaeus,Acrobatidae,Mammalia,Marsupialia,Diprotodontia,Extant,No,ANU-5325,Sediment,Charcoal,23.7,=,Radiocarbon  ,Main Australia,NSW,Great Diving Range - Wellington Caves,Cathedral Cave/Wellington Caves,spit 49 (6.4 m) - Phase 1: spit 46 (6.1 m) to spit 50 (6.5 m),Yes - see also Osborne 1984,Yes
14,-32.6232,148.932,Acrobates,pygmaeus,Acrobatidae,Mammalia,Marsupialia,Diprotodontia,Extant,No,ANU-5326,Sediment,Charcoal,26.8,=,Radiocarbon  ,Main Australia,NSW,Great Diving Range - Wellington Caves,Cathedral Cave/Wellington Caves,spit 50 (6.5 m) - Phase 1: spit 46 (6.1 m) to spit 50 (6.5 m),Yes - see also Osborne 1984,Yes
15,-32.6232,148.932,Acrobates,pygmaeus,Acrobatidae,Mammalia,Marsupialia,Diprotodontia,Extant,No,ANU-5324,Sediment,Charcoal,28.0,=,Radiocarbon  ,Main Australia,NSW,Great Diving Range - Wellington Caves,Cathedral Cave/Wellington Caves,spit 47 (6.2 m) - Phase 1: spit 46 (6.1 m) to spit 50 (6.5 m),Yes - see also Osborne 1984,Yes
